Tree_ID,Branch_ID,Position,Fruits,pedicels,ripe,unripe,ripe+unripe,ripeFr,Avg_fruit_diam,total,removal_rate
1,H1,High,250,52,5,35,40,0.125,8.05,302,0.17218543
1,H2,High,264,34,19,51,70,0.271428571,7.4,298,0.11409396
1,H3,High,217,45,9,52,61,0.147540984,7.1,262,0.171755725
1,L1,Low,228,47,23,25,48,0.479166667,7.9,275,0.170909091
1,L2,Low,210,45,25,43,68,0.367647059,6.1,255,0.176470588
1,L3,Low,151,16,17,34,51,0.333333333,7.075,167,0.095808383
2,H1,High,598,112,4,49,53,0.075471698,8.55,710,0.157746479
2,H2,High,187,65,3,47,50,0.06,8.3,252,0.257936508
2,H3,High,137,37,9,41,50,0.18,8.3,174,0.212643678
2,L1,Low,94,30,36,21,57,0.631578947,8.65,124,0.241935484
2,L2,Low,103,88,26,24,50,0.52,8.75,191,0.460732984
2,L3,Low,184,40,31,25,56,0.553571429,9.35,224,0.178571429
3,H1,High,205,3,6,59,65,0.092307692,10.8995,208,0.014423077
3,H2,High,197,11,11,63,74,0.148648649,11.104,208,0.052884615
3,H3,High,161,18,8,62,70,0.114285714,11.87,179,0.100558659
3,L1,Low,258,12,24,31,55,0.436363636,11.82,270,0.044444444
3,L2,Low,215,57,11,52,63,0.174603175,11.665,272,0.209558824
3,L3,Low,332,6,28,33,61,0.459016393,11.53,338,0.017751479
4,H1,High,150,11,17,33,50,0.34,11.064,161,0.068322981
4,H2,High,250,22,23,27,50,0.46,10.6375,272,0.080882353
4,H3,High,145,10,30,20,50,0.6,11.89,155,0.064516129
4,L1,Low,59,12,35,15,50,0.7,12,71,0.169014085
4,L2,Low,131,27,16,29,45,0.355555556,11.1315,158,0.170886076
4,L3,Low,86,13,22,24,46,0.47826087,11.4505,99,0.131313131
5,H1,High,310,10,18,2,20,0.9,8.4625,320,0.03125
5,H2,High,80,2,18,2,20,0.9,8.095,82,0.024390244
5,H3,High,88,25,19,1,20,0.95,7.828,113,0.221238938
5,L1,Low,225,10,27,9,36,0.75,8.6095,235,0.042553191
5,L2,Low,247,7,12,8,20,0.6,8.4505,254,0.027559055
5,L3,Low,173,5,14,6,20,0.7,8.6515,178,0.028089888
6,H1,High,333,18,41,9,50,0.82,6.681818182,351,0.051282051
6,H2,High,511,25,27,9,36,0.75,8.333333333,536,0.046641791
6,H3,High,132,19,50,4,54,0.925925926,8.857142857,151,0.125827815
6,L1,Low,173,7,42,29,71,0.591549296,8.84047619,180,0.038888889
6,L2,Low,79,27,70,3,73,0.95890411,7.446,106,0.254716981
6,L3,Low,165,26,61,55,116,0.525862069,8.2715,191,0.136125654
7,H1,High,326,28,34,16,50,0.68,8.45,354,0.079096045
7,H2,High,285,13,41,9,50,0.82,8.55,298,0.043624161
7,H3,High,122,37,34,16,50,0.68,9.4,159,0.232704403
7,L1,Low,300,24,46,4,50,0.92,8.861428571,324,0.074074074
7,L2,Low,225,31,43,7,50,0.86,9.842105263,256,0.12109375
7,L3,Low,116,124,40,10,50,0.8,9.1,240,0.516666667
